Stock Quotes for F,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,17.34,17.4,17.07,17.21,36171500,17.09
2014-07-02,17.19,17.3,17.17,17.22,17001400,17.1
2014-07-03,17.23,17.34,17.22,17.32,13581200,17.2
2014-07-07,17.19,17.4,17.19,17.32,20271600,17.2
2014-07-08,17.22,17.24,17.05,17.11,23323400,16.99
2014-07-09,17.16,17.45,17.14,17.43,27037000,17.31
2014-07-10,17.2,17.39,17.17,17.3,20164400,17.18
2014-07-11,17.31,17.49,17.29,17.47,20150000,17.35
2014-07-14,17.51,17.6,17.45,17.55,20446700,17.43
2014-07-15,17.55,17.65,17.45,17.54,22626400,17.42
2014-07-16,17.66,17.87,17.62,17.8,36063400,17.67
2014-07-17,17.66,18.08,17.64,17.74,47287300,17.61
2014-07-18,17.8,17.84,17.65,17.72,24838800,17.59
2014-07-21,17.65,17.9,17.65,17.7,19197700,17.57
2014-07-22,17.77,17.86,17.67,17.82,24546100,17.69
2014-07-23,17.83,17.95,17.78,17.78,30932500,17.65
2014-07-24,18.01,18.12,17.68,17.84,53838000,17.71
2014-07-25,17.9,17.92,17.51,17.62,34499800,17.49
2014-07-28,17.62,17.71,17.47,17.64,29662100,17.51
2014-07-29,17.65,17.85,17.54,17.57,32972800,17.44
2014-07-30,17.52,17.6,17.32,17.46,30169700,17.46
2014-07-31,17.3,17.33,17.01,17.02,34170600,17.02
2014-08-01,17.05,17.18,16.72,16.81,33678000,16.81
2014-08-04,16.96,17.14,16.94,17.02,24871300,17.02
2014-08-05,16.94,17.14,16.78,16.87,24843500,16.87
2014-08-06,16.74,17.08,16.74,16.98,21872900,16.98
2014-08-07,17.04,17.1,16.77,16.82,19997700,16.82
2014-08-08,16.8,17.12,16.75,17.09,29370400,17.09
2014-08-11,17.17,17.25,17.11,17.17,17814900,17.17
2014-08-12,17.15,17.41,17.14,17.21,25514800,17.21
2014-08-13,17.48,17.48,17.32,17.42,26177800,17.42
2014-08-14,17.4,17.48,17.23,17.43,19733500,17.43
2014-08-15,17.49,17.49,17.17,17.31,20958100,17.31
2014-08-18,17.38,17.52,17.38,17.43,17174900,17.43
2014-08-19,17.51,17.52,17.32,17.36,15899400,17.36
2014-08-20,17.35,17.43,17.25,17.41,14204600,17.41
2014-08-21,17.43,17.49,17.37,17.4,15018700,17.4
2014-08-22,17.32,17.39,17.15,17.17,20247000,17.17
2014-08-25,17.21,17.29,17.2,17.23,10726100,17.23
2014-08-26,17.26,17.35,17.19,17.19,12018200,17.19
2014-08-27,17.23,17.4,17.21,17.36,18022900,17.36
2014-08-28,17.27,17.45,17.21,17.42,16812900,17.42
2014-08-29,17.47,17.49,17.39,17.41,15373400,17.41
2014-09-02,17.48,17.62,17.48,17.6,18403300,17.6
2014-09-03,17.71,17.87,17.44,17.47,25606700,17.47
2014-09-04,17.46,17.63,17.19,17.27,20599800,17.27
2014-09-05,17.3,17.3,16.94,17.14,29703800,17.14
2014-09-08,16.74,16.87,16.71,16.8,47350600,16.8
2014-09-09,16.79,16.82,16.59,16.63,26569700,16.63
2014-09-10,16.65,16.72,16.61,16.63,16632200,16.63
2014-09-11,16.59,16.67,16.51,16.66,14658900,16.66
2014-09-12,16.64,16.68,16.5,16.59,16470100,16.59
2014-09-15,16.56,16.62,16.42,16.47,23630500,16.47
